Transaction_Text,Label
Theatre ticket payment PAYMENT,Entertainment
ONLINE Metro card recharge PURCHASE,Transport
PAYTM Disney Hotstar subscription ONLINE,Entertainment
GPAY Prime Video subscription TRANSACTION,Entertainment
Groww ETF investment | Ref:ab6dac4c | Amount: INR 43243.96,Investment
PAYTM General income credit PAYMENT,Income
UPI Clinic payment TRANSACTION,Medical
PAYTM Employer salary payment TRANSACTION,Salary
UPI Doctor consultation fee PURCHASE,Medical
POS Disney Hotstar subscription UPI,Entertainment
POS Landlord rent payment,Rent
Petrol pump fuel payment | Ref:0d14f283 | Amount: INR 20764.77,Petrol
Petrol pump fuel payment | Ref:7d2dc511 | Amount: INR 3455.41,Petrol
UPI Transfer to family member TRANSACTION,Personal Transfer
ONLINE School fee payment UPI,Studies
Jio mobile recharge,Bills
PHONEPE Flat rent transfer PAYMENT,Rent
Jio mobile recharge PURCHASE,Bills
HDFC home loan EMI | Ref:ba054c84 | Amount: INR 47821.81,EMI
Bajaj Finserv EMI payment | Ref:9fc0af54 | Amount: INR 16022.35,EMI
SBI car loan EMI | Ref:75c73c65 | Amount: INR 24489.8,EMI
POS General credit to account,Income
BANK Monthly rent transfer UPI,Rent
GPAY Tuition class payment PAYMENT,Studies
GPAY Gas bill payment TRANSACTION,Bills
POS MedPlus pharmacy purchase UPI,Medical
POS Hostel rent payment ONLINE,Rent
UPI Doctor consultation fee ONLINE,Medical
GPAY Gas bill payment PURCHASE,Bills
Mithran Super Stores purchase ONLINE,Groceries
Groww ETF investment | Ref:c1dba76f | Amount: INR 9466.83,Investment
GPAY Bonus credited ONLINE,Income
PAYTM Bank account credit received PURCHASE,Income
GPAY Cash deposit credit,Income
ONLINE BookMyShow movie ticket,Entertainment
Uber ride payment | Ref:a222c271 | Amount: INR 29686.38,Transport
Uber ride payment | Ref:86738415 | Amount: INR 13784.38,Transport
Electricity bill payment TRANSACTION,Bills
ONLINE Mithran Super Stores purchase PURCHASE,Groceries
Amazon online shopping | Ref:3eb0c498 | Amount: INR 38557.63,Shopping
Money sent to Deepak,Personal Transfer
GPAY Theatre ticket payment,Entertainment
SBI car loan EMI | Ref:0e47cfab | Amount: INR 1074.53,EMI
PAYTM Apollo Pharmacy payment PURCHASE,Medical
Prime Video subscription PURCHASE,Entertainment
PAYTM Salary credited PAYMENT,Salary
Miscellaneous expense PURCHASE,Other
PHONEPE Monthly rent transfer ONLINE,Rent
UPI House rent payment TRANSACTION,Rent
BANK SIP auto debit investment PURCHASE,Investment
GPAY Hostel rent payment,Rent
BANK Personal bank transfer ONLINE,Personal Transfer
UPI Office salary received UPI,Salary
BANK Spotify subscription PURCHASE,Entertainment
POS Jio mobile recharge UPI,Bills
PHONEPE University tuition fee TRANSACTION,Studies
ONLINE Diagnostic lab payment,Medical
PHONEPE General income credit TRANSACTION,Income
ONLINE Electricity bill payment UPI,Bills
Room rent August PAYMENT,Rent
PHONEPE Landlord rent payment PURCHASE,Rent
ONLINE Provision store payment,Groceries
Grocery purchase at Big Bazaar | Ref:6b067960 | Amount: INR 34108.17,Food
MakeMyTrip hotel booking | Ref:4a841429 | Amount: INR 22493.97,Transport
Restaurant dining at | Ref:f356abdf | Amount: INR 15280.98,Food
Salary August credit TRANSACTION,Salary
ONLINE House rent payment PURCHASE,Rent
PAYTM Money sent to Deepak TRANSACTION,Personal Transfer
Dominos pizza order | Ref:2cb94927 | Amount: INR 36693.48,Food
ONLINE Cash deposit credit ONLINE,Income
POS MedPlus pharmacy purchase UPI,Medical
Petrol pump fuel payment | Ref:d948f22a | Amount: INR 27090.62,Petrol
IRCTC train ticket booking | Ref:18dc10cd | Amount: INR 42884.18,Transport
Swiggy order payment | Ref:32778f00 | Amount: INR 535.65,Food
POS Apollo Pharmacy payment PAYMENT,Medical
BANK Bharat Petroleum fuel purchase,Petrol
IKEA furniture shopping | Ref:1b2c91cb | Amount: INR 3169.27,Shopping
Restaurant dining at | Ref:df4e28b0 | Amount: INR 17622.64,Food
PAYTM Meesho shopping payment PURCHASE,Shopping
SBI car loan EMI | Ref:7bfb3bb9 | Amount: INR 41594.73,EMI
Bajaj Finserv EMI payment | Ref:23c9d4cb | Amount: INR 44102.37,EMI
Restaurant dining at | Ref:7f261bc5 | Amount: INR 49007.89,Food
Fixed deposit investment | Ref:cc9c137a | Amount: INR 39685.4,Investment
Bajaj Finserv EMI payment | Ref:46c662ff | Amount: INR 13356.73,EMI
PAYTM General purchase TRANSACTION,Other
Swiggy order payment | Ref:4d574c36 | Amount: INR 44583.43,Food
PHONEPE Diagnostic lab payment TRANSACTION,Medical
PHONEPE Theatre ticket payment,Entertainment
PAYTM Netflix monthly payment UPI,Entertainment
GPAY Disney Hotstar subscription TRANSACTION,Entertainment
POS Transfer to family member ONLINE,Personal Transfer
Medical shop purchase,Medical
BANK Airtel recharge ONLINE,Bills
GPAY UPI transfer to Arun UPI,Personal Transfer
Dominos pizza order | Ref:09a071ca | Amount: INR 48527.49,Food
Hospital bill payment ONLINE,Medical
ONLINE Utility bill payment PURCHASE,Bills
Zerodha stock purchase | Ref:0724fc37 | Amount: INR 24506.33,Investment
PHONEPE Room rent August PAYMENT,Rent
GPAY PG rent payment,Rent
Restaurant dining at | Ref:b44b2cfe | Amount: INR 22409.44,Food
GPAY UPI transfer to Arun ONLINE,Personal Transfer
BANK Hospital bill payment PURCHASE,Medical
BANK Prime Video subscription ONLINE,Entertainment
UPI Room rent August,Rent
Swiggy order payment | Ref:8572e323 | Amount: INR 18280.88,Food
POS Internet broadband bill PURCHASE,Bills
McDonald's meal payment | Ref:45dd8c9a | Amount: INR 21286.05,Food
POS General purchase UPI,Other
Uber ride payment | Ref:e823fee4 | Amount: INR 23575.96,Transport
PAYTM Gas bill payment PURCHASE,Bills
ONLINE Flat rent transfer PAYMENT,Rent
Grocery purchase at Big Bazaar | Ref:705274b1 | Amount: INR 1000.03,Food
PHONEPE Office salary received,Salary
Groww ETF investment | Ref:fbd9f8b6 | Amount: INR 5738.7,Investment
PAYTM Spotify subscription PURCHASE,Entertainment
GPAY Salary August credit UPI,Salary
Cafe coffee purchase at | Ref:cd2ba8f9 | Amount: INR 6640.62,Food
ONLINE UPI transfer to Arun UPI,Personal Transfer
PHONEPE Supermarket grocery purchase PAYMENT,Groceries
PPF contribution | Ref:a5c3812b | Amount: INR 34686.37,Investment
Uber ride payment | Ref:2c9a8fa2 | Amount: INR 29753.99,Transport
House rent payment,Rent
Swiggy order payment | Ref:8eb083cb | Amount: INR 30776.22,Food
GPAY Academic fee payment UPI,Studies
Dominos pizza order | Ref:93d2f3ac | Amount: INR 34412.48,Food
Fixed deposit investment | Ref:40cfdd79 | Amount: INR 7224.29,Investment
ONLINE Gaming purchase ONLINE,Entertainment
BANK Apartment rent payment UPI,Rent
POS Coaching institute UPI PURCHASE,Studies
PPF contribution | Ref:5b0f1a0d | Amount: INR 19450.44,Investment
Gas bill payment,Bills
POS Diesel filling payment ONLINE,Petrol
PHONEPE UPI payment to Ravi PAYMENT,Personal Transfer
MakeMyTrip hotel booking | Ref:db18bec9 | Amount: INR 39674.28,Transport
Personal loan EMI deduction | Ref:d4ac19b4 | Amount: INR 6945.61,EMI
PHONEPE Money transfer to person TRANSACTION,Personal Transfer
Grocery purchase at Big Bazaar | Ref:fe8464c5 | Amount: INR 6578.26,Food
POS Room rent August,Rent
PPF contribution | Ref:805fa516 | Amount: INR 284.06,Investment
Reliance Digital purchase | Ref:63800250 | Amount: INR 13591.2,Shopping
UPI Hostel rent payment ONLINE,Rent
GPAY Blinkit grocery payment PURCHASE,Groceries
SBI car loan EMI | Ref:730028ca | Amount: INR 37895.11,EMI
PHONEPE Payroll credit,Salary
POS PG rent payment PURCHASE,Rent
BANK Money transfer to person TRANSACTION,Personal Transfer
Swiggy order payment | Ref:f41432c5 | Amount: INR 10855.78,Food
GPAY Monthly wages credited UPI,Salary
PHONEPE House rent payment PURCHASE,Rent
Bookstore study material PAYMENT,Studies
Grocery purchase at Big Bazaar | Ref:44edc45e | Amount: INR 36412.17,Food
PAYTM PG rent payment,Rent
Institute fee payment UPI,Studies
UPI Jio mobile recharge PURCHASE,Bills
Uber ride payment | Ref:6d1e743f | Amount: INR 40199.4,Transport
PPF contribution | Ref:52e5f5a7 | Amount: INR 22228.79,Investment
UPI Payroll credit PAYMENT,Salary
Swiggy order payment | Ref:0f91a864 | Amount: INR 16158.71,Food
GPAY Personal UPI transfer ONLINE,Personal Transfer
HPCL petrol payment PURCHASE,Petrol
Restaurant dining at | Ref:f4f0d05e | Amount: INR 36956.03,Food
Grocery purchase at Big Bazaar | Ref:e620f695 | Amount: INR 49958.84,Food
POS Education institute UPI payment TRANSACTION,Studies
GPAY Unclassified transaction ONLINE,Other
PHONEPE Monthly loan installment,EMI
UPI HPCL petrol payment UPI,Petrol
Fixed deposit investment | Ref:68a67e8e | Amount: INR 40734.25,Investment
GPAY Landlord rent payment UPI,Rent
PHONEPE General credit to account PAYMENT,Income
PAYTM Internet broadband bill ONLINE,Bills
ONLINE Zepto grocery delivery PAYMENT,Groceries
Personal loan EMI deduction | Ref:f10ecfa2 | Amount: INR 30688.85,EMI
Flipkart electronics purchase | Ref:9b3b54d6 | Amount: INR 49375.09,Shopping
HDFC home loan EMI | Ref:d80e598a | Amount: INR 48546.32,EMI
POS Doctor consultation fee PURCHASE,Medical
Monthly wages credited PURCHASE,Salary
Groww ETF investment | Ref:60e644ab | Amount: INR 43016.31,Investment
Groww ETF investment | Ref:b274d17b | Amount: INR 10125.05,Investment
PAYTM Supermarket grocery purchase PAYMENT,Groceries
BANK Unknown bank transaction PAYMENT,Other
BANK Payroll credit PURCHASE,Salary
ONLINE Unknown bank transaction PURCHASE,Other
MakeMyTrip hotel booking | Ref:1c9436fa | Amount: INR 1943.44,Transport
Credit card EMI installment | Ref:d48a4ebc | Amount: INR 35209.91,EMI
MakeMyTrip hotel booking | Ref:06af9578 | Amount: INR 7512.26,Transport
Credit card EMI installment | Ref:e4ede139 | Amount: INR 619.21,EMI
PHONEPE Payment to friend ONLINE,Personal Transfer
PHONEPE Zepto grocery delivery UPI,Groceries
PAYTM Educational institution fee ONLINE,Studies
RedBus bus ticket | Ref:6d5634f2 | Amount: INR 32275.14,Transport
POS Educational institution fee ONLINE,Studies
Medicine purchase PURCHASE,Medical
PHONEPE Monthly rent transfer PAYMENT,Rent
POS Supermarket grocery purchase ONLINE,Groceries
Uber ride payment | Ref:73f60c29 | Amount: INR 9282.76,Transport
BANK Mithran Super Stores purchase TRANSACTION,Groceries
ONLINE Mithran Super Stores purchase,Groceries
University tuition fee PAYMENT,Studies
GPAY Unclassified transaction,Other
BANK General purchase,Other
POS Payment to friend,Personal Transfer
PAYTM Taxi fare payment ONLINE,Transport
Ola cab fare | Ref:7a57e1b8 | Amount: INR 2816.3,Transport
UPI Personal bank transfer ONLINE,Personal Transfer
Dominos pizza order | Ref:d3ee4c30 | Amount: INR 47875.38,Food
Flipkart electronics purchase | Ref:5ce7011d | Amount: INR 3627.04,Shopping
PAYTM Netflix monthly payment UPI,Entertainment
UPI Medical shop purchase PAYMENT,Medical
Restaurant dining at | Ref:0fb632fc | Amount: INR 32190.28,Food
Zerodha stock purchase | Ref:c36c4db3 | Amount: INR 13963.33,Investment
Bajaj Finserv EMI payment | Ref:f551c160 | Amount: INR 35176.39,EMI
Flipkart electronics purchase | Ref:cf839e16 | Amount: INR 29712.56,Shopping
BANK Medical shop purchase UPI,Medical
BANK Apollo Pharmacy payment ONLINE,Medical
GPAY Academic fee payment UPI,Studies
Petrol pump fuel payment | Ref:68952c28 | Amount: INR 32860.98,Petrol
POS Institute fee payment ONLINE,Studies
UPI Unclassified transaction,Other
BANK Company salary deposit UPI,Salary
Bajaj Finserv EMI payment | Ref:1d625607 | Amount: INR 38353.76,EMI
UPI Groww investment payment PURCHASE,Investment
BANK Hospital bill payment TRANSACTION,Medical
UPI Udemy course purchase ONLINE,Studies
PPF contribution | Ref:df5ed707 | Amount: INR 13071.93,Investment
ONLINE General purchase PURCHASE,Other
BANK Jio mobile recharge TRANSACTION,Bills
GPAY Money sent to Deepak TRANSACTION,Personal Transfer
Petrol pump fuel payment | Ref:daea6ba8 | Amount: INR 16248.73,Petrol
Restaurant dining at | Ref:a0bf89c2 | Amount: INR 25572.48,Food
Credit card EMI installment | Ref:5181bd7f | Amount: INR 3526.9,EMI
UPI Bank credit received PAYMENT,Income
GPAY IOCL fuel station UPI PURCHASE,Petrol
GPAY MedPlus pharmacy purchase,Medical
POS Apartment rent payment UPI,Rent
ONLINE Hostel rent payment TRANSACTION,Rent
Uber ride payment | Ref:f3a30dfc | Amount: INR 28649.89,Transport
GPAY Medicine purchase TRANSACTION,Medical
PAYTM Hospital bill payment TRANSACTION,Medical
PAYTM Salary credited PAYMENT,Salary
McDonald's meal payment | Ref:cf622742 | Amount: INR 6420.41,Food
GPAY Gaming purchase PAYMENT,Entertainment
GPAY Gaming purchase UPI,Entertainment
ONLINE Medicine purchase UPI,Medical
ONLINE Train reservation payment TRANSACTION,Transport
BANK Money transfer to person UPI,Personal Transfer
Credit card EMI installment | Ref:334d5315 | Amount: INR 31536.12,EMI
Bajaj Finserv EMI payment | Ref:e192f5b3 | Amount: INR 18673.78,EMI
ONLINE Money transfer to person UPI,Personal Transfer
PAYTM Spotify subscription PAYMENT,Entertainment
GPAY Supermarket grocery purchase PAYMENT,Groceries
ONLINE UPI transfer to Arun ONLINE,Personal Transfer
Monthly rent transfer ONLINE,Rent
UPI Mobile bill payment,Bills
BANK Blinkit grocery payment TRANSACTION,Groceries
GPAY Amazon online shopping PAYMENT,Shopping
BANK Doctor consultation fee PAYMENT,Medical
Petrol pump fuel payment | Ref:06529bce | Amount: INR 39952.48,Petrol
PAYTM Theatre ticket payment UPI,Entertainment
ONLINE BookMyShow movie ticket PURCHASE,Entertainment
IKEA furniture shopping | Ref:5308f2ce | Amount: INR 5984.61,Shopping
Prime Video subscription PAYMENT,Entertainment
Petrol pump fuel payment | Ref:694c3f7b | Amount: INR 7886.73,Petrol
Cafe coffee purchase at | Ref:edf1d009 | Amount: INR 33086.94,Food
BANK Monthly loan installment PURCHASE,EMI
PHONEPE General income credit PURCHASE,Income
POS General income credit PAYMENT,Income
Freelance payment received,Income
POS Company salary deposit,Salary
ONLINE Hospital bill payment,Medical
PAYTM Monthly salary credit ONLINE,Salary
Petrol pump fuel payment | Ref:91a96b47 | Amount: INR 15395.31,Petrol
ONLINE Shell fuel payment PAYMENT,Petrol
GPAY BigBasket grocery order PAYMENT,Groceries
ONLINE BigBasket grocery order,Groceries
GPAY Office salary received TRANSACTION,Salary
PAYTM Disney Hotstar subscription PAYMENT,Entertainment
POS Mobile bill payment,Bills
POS Payroll credit PAYMENT,Salary
UPI Zomato online food order ONLINE,Food
SIP investment in mutual fund | Ref:c4438911 | Amount: INR 32707.96,Investment
Water bill payment UPI,Bills
DMart grocery purchase PURCHASE,Groceries
UPI Prime Video subscription TRANSACTION,Entertainment
SIP investment in mutual fund | Ref:64d8c971 | Amount: INR 16029.95,Investment
GPAY Apollo Pharmacy payment ONLINE,Medical
Petrol pump fuel payment | Ref:83399243 | Amount: INR 31508.54,Petrol
ONLINE General credit to account,Income
Ola cab fare | Ref:64135813 | Amount: INR 11506.96,Transport
PPF contribution | Ref:e20ccc88 | Amount: INR 33380.45,Investment
GPAY College fee payment TRANSACTION,Studies
IKEA furniture shopping | Ref:8ef5b1b7 | Amount: INR 48155.09,Shopping
PAYTM Payroll credit PAYMENT,Salary
POS Flat rent transfer,Rent
ONLINE AJIO retail purchase PAYMENT,Shopping
ONLINE Monthly salary credit UPI,Salary
BANK Money sent to Deepak UPI,Personal Transfer
BANK Salary credited PURCHASE,Salary
PAYTM Money transfer to person,Personal Transfer
Petrol pump fuel payment | Ref:b4f83d7e | Amount: INR 17415.85,Petrol
PHONEPE Academic fee payment PAYMENT,Studies
PAYTM Gaming purchase PURCHASE,Entertainment
Fixed deposit investment | Ref:3e8aadb9 | Amount: INR 35594.58,Investment
BANK Airtel recharge TRANSACTION,Bills
MakeMyTrip hotel booking | Ref:97597f88 | Amount: INR 31383.77,Transport
HDFC home loan EMI | Ref:dd448331 | Amount: INR 32111.23,EMI
Reliance Digital purchase | Ref:bf4f32be | Amount: INR 9130.31,Shopping
POS Salary credited PAYMENT,Salary
ONLINE Miscellaneous expense PAYMENT,Other
POS Bookstore study material TRANSACTION,Studies
PHONEPE HPCL petrol payment ONLINE,Petrol
SIP investment in mutual fund | Ref:186dbfbe | Amount: INR 10890.8,Investment
POS Income credited PAYMENT,Income
POS Landlord rent payment TRANSACTION,Rent
Income credited,Income
GPAY School fee payment ONLINE,Studies
UPI Internet broadband bill TRANSACTION,Bills
HDFC home loan EMI | Ref:4f0234e3 | Amount: INR 7459.5,EMI
SBI car loan EMI | Ref:d2c523fd | Amount: INR 46504.34,EMI
PAYTM Incoming bank credit,Income
BANK Bonus credited PAYMENT,Income
PAYTM Landlord rent payment PAYMENT,Rent
Amazon online shopping | Ref:c2c88696 | Amount: INR 37084.58,Shopping
GPAY Company salary deposit ONLINE,Salary
PAYTM Clinic payment TRANSACTION,Medical
Grocery purchase at Big Bazaar | Ref:e0744261 | Amount: INR 18671.77,Food
Fixed deposit investment | Ref:bd0ca615 | Amount: INR 5748.14,Investment
PAYTM Mobile bill payment ONLINE,Bills
GPAY Payroll credit PURCHASE,Salary
PAYTM Educational institution fee ONLINE,Studies
GPAY Salary credited TRANSACTION,Salary
Reliance Digital purchase | Ref:fd37232c | Amount: INR 29161.17,Shopping
Academic fee payment,Studies
Payment to friend ONLINE,Personal Transfer
IKEA furniture shopping | Ref:bd66deed | Amount: INR 42590.8,Shopping
PHONEPE Payment to friend UPI,Personal Transfer
BANK UPI transfer to friend,Personal Transfer
PAYTM Miscellaneous expense TRANSACTION,Other
PAYTM Gas bill payment UPI,Bills
Reliance Digital purchase | Ref:9a1c3fef | Amount: INR 23110.91,Shopping
Bonus credited,Income
Money received,Income
GPAY Udemy course purchase PAYMENT,Studies
PHONEPE Coaching institute UPI PAYMENT,Studies
Bajaj Finserv EMI payment | Ref:5e11e5b0 | Amount: INR 40537.18,EMI
SBI car loan EMI | Ref:61d37a09 | Amount: INR 46887.5,EMI
Zepto grocery delivery PURCHASE,Groceries
GPAY School fee payment UPI,Studies
PHONEPE Unknown merchant payment UPI,Other
Groww ETF investment | Ref:42306106 | Amount: INR 11437.4,Investment
UPI Zepto grocery delivery PURCHASE,Groceries
IndiGo flight ticket | Ref:c382d283 | Amount: INR 41175.27,Transport
GPAY Room rent August UPI,Rent
Payment to friend TRANSACTION,Personal Transfer
ONLINE Mithran Super Stores purchase TRANSACTION,Groceries
PAYTM Salary August credit ONLINE,Salary
Reliance Fresh supermarket payment UPI,Groceries
PHONEPE Blinkit grocery payment UPI,Groceries
Internet broadband bill PAYMENT,Bills
Uber ride payment | Ref:3a65ea3f | Amount: INR 154.26,Transport
IndiGo flight ticket | Ref:547d39f0 | Amount: INR 4512.09,Transport
GPAY Medicine purchase TRANSACTION,Medical
POS DMart grocery purchase UPI,Groceries
BANK Education institute UPI payment PURCHASE,Studies
ONLINE Shell fuel payment UPI,Petrol
BigBasket grocery order UPI,Groceries
SBI car loan EMI | Ref:46c9ca37 | Amount: INR 12836.56,EMI
GPAY MedPlus pharmacy purchase,Medical
BANK Personal bank transfer ONLINE,Personal Transfer
Groww ETF investment | Ref:df3b6912 | Amount: INR 9929.15,Investment
PAYTM Diagnostic lab payment TRANSACTION,Medical
Doctor consultation fee PURCHASE,Medical
PPF contribution | Ref:aff4dcda | Amount: INR 26366.42,Investment
Bajaj Finserv EMI payment | Ref:ef33bd13 | Amount: INR 28173.87,EMI
UPI Gaming purchase PURCHASE,Entertainment
ONLINE Monthly wages credited,Salary
Electricity bill payment PURCHASE,Bills
Swiggy order payment | Ref:d9e7407c | Amount: INR 1314.6,Food
GPAY Apartment rent payment PURCHASE,Rent
UPI Room rent August PURCHASE,Rent
Internet broadband bill TRANSACTION,Bills
GPAY Restaurant food payment ONLINE,Food
Payroll credit,Salary
POS General purchase PURCHASE,Other
Company salary deposit UPI,Salary
Petrol pump fuel payment | Ref:80cf472a | Amount: INR 48025.71,Petrol
POS Payroll credit UPI,Salary
POS HPCL petrol payment ONLINE,Petrol
GPAY Hostel rent payment,Rent
UPI Tuition class payment ONLINE,Studies
PAYTM Money sent to Deepak PAYMENT,Personal Transfer
UPI Apollo Pharmacy payment,Medical
Fixed deposit investment | Ref:9bc5ca25 | Amount: INR 32504.38,Investment
GPAY Clinic payment TRANSACTION,Medical
Zerodha stock purchase | Ref:62d7994d | Amount: INR 29626.62,Investment
BANK Flat rent transfer,Rent
Grocery purchase at Big Bazaar | Ref:9d35e3b5 | Amount: INR 18713.51,Food
PHONEPE General payment,Other
PHONEPE DMart grocery purchase ONLINE,Groceries
POS Mithran Super Stores purchase PAYMENT,Groceries
BANK Diagnostic lab payment ONLINE,Medical
PAYTM Hospital bill payment TRANSACTION,Medical
Petrol pump fuel payment | Ref:081a7bb3 | Amount: INR 4722.18,Petrol
BANK Bonus credited UPI,Income
GPAY Tuition class payment UPI,Studies
UPI Coursera course payment UPI,Studies
IKEA furniture shopping | Ref:a60be28e | Amount: INR 26831.16,Shopping
Petrol pump fuel payment | Ref:c9bcb18f | Amount: INR 16164.21,Petrol
GPAY Prime Video subscription UPI,Entertainment
PHONEPE BookMyShow movie ticket ONLINE,Entertainment
PHONEPE AJIO retail purchase UPI,Shopping
ONLINE Apartment rent payment TRANSACTION,Rent
IRCTC train ticket booking | Ref:4ebfcb9c | Amount: INR 28014.46,Transport
POS Zepto grocery delivery TRANSACTION,Groceries
IndiGo flight ticket | Ref:ddce1a80 | Amount: INR 16979.63,Transport
GPAY Salary credited UPI,Salary
POS Money transfer to person PURCHASE,Personal Transfer
PAYTM Jio mobile recharge,Bills
ONLINE University tuition fee PURCHASE,Studies
UPI Company salary deposit ONLINE,Salary
Amazon online shopping | Ref:3190b50e | Amount: INR 13114.58,Shopping
Personal loan EMI deduction | Ref:fcd5bf16 | Amount: INR 36439.95,EMI
Petrol pump fuel payment | Ref:bd1773e9 | Amount: INR 22458.25,Petrol
ONLINE Misc expense payment ONLINE,Other
UPI Gas bill payment ONLINE,Bills
PHONEPE Internet broadband bill,Bills
PAYTM Restaurant food payment UPI,Food
ONLINE Unknown bank transaction PAYMENT,Other
PHONEPE General purchase TRANSACTION,Other
Airtel recharge PAYMENT,Bills
BANK Academic fee payment PAYMENT,Studies
UPI Hostel rent payment PAYMENT,Rent
IKEA furniture shopping | Ref:c19428fb | Amount: INR 29706.3,Shopping
ONLINE Other transaction PURCHASE,Other
ONLINE University tuition fee ONLINE,Studies
UPI College fee payment UPI,Studies
Taxi fare payment TRANSACTION,Transport
PAYTM Spotify subscription TRANSACTION,Entertainment
Udemy course purchase UPI,Studies
Amazon online shopping | Ref:00b7195e | Amount: INR 36152.69,Shopping
POS General payment PURCHASE,Other
PHONEPE University tuition fee TRANSACTION,Studies
Myntra clothing order | Ref:90e9cf3a | Amount: INR 10952.0,Shopping
Personal bank transfer,Personal Transfer
PHONEPE House rent payment UPI,Rent
Grocery purchase at Big Bazaar | Ref:708d08ed | Amount: INR 21173.29,Food
GPAY Reliance Fresh supermarket payment,Groceries
PAYTM Room rent August ONLINE,Rent
Petrol pump fuel payment | Ref:618eefeb | Amount: INR 32999.46,Petrol
IKEA furniture shopping | Ref:98e46e90 | Amount: INR 4235.29,Shopping
GPAY Income credited PURCHASE,Income
Flipkart electronics purchase | Ref:0a7ef22a | Amount: INR 4240.24,Shopping
UPI Electricity bill payment ONLINE,Bills
SBI car loan EMI | Ref:967ab801 | Amount: INR 726.93,EMI
BANK Train reservation payment ONLINE,Transport
Zerodha stock purchase | Ref:dd0d06fb | Amount: INR 36495.18,Investment
Groww ETF investment | Ref:c09c0eae | Amount: INR 23462.21,Investment
GPAY Apartment rent payment UPI,Rent
Unknown bank transaction PAYMENT,Other
GPAY Theatre ticket payment TRANSACTION,Entertainment
POS Reliance Fresh supermarket payment PURCHASE,Groceries
ONLINE Medicine purchase PAYMENT,Medical
RedBus bus ticket | Ref:5bb87769 | Amount: INR 12051.46,Transport
UPI Salary August credit,Salary
MakeMyTrip hotel booking | Ref:a9079d53 | Amount: INR 44629.02,Transport
PAYTM Payment to friend PAYMENT,Personal Transfer
BANK Personal UPI transfer UPI,Personal Transfer
Zerodha stock purchase | Ref:1ada4729 | Amount: INR 4041.15,Investment
PHONEPE Medical shop purchase PURCHASE,Medical
PHONEPE Medical shop purchase ONLINE,Medical
SBI car loan EMI | Ref:ff7248a8 | Amount: INR 3293.88,EMI
BANK MedPlus pharmacy purchase ONLINE,Medical
Restaurant dining at | Ref:08570bcd | Amount: INR 47056.13,Food
SIP investment in mutual fund | Ref:6280cba3 | Amount: INR 7874.88,Investment
Petrol pump fuel payment | Ref:51ce0f39 | Amount: INR 17613.74,Petrol
POS Doctor consultation fee ONLINE,Medical
UPI Utility bill payment UPI,Bills
ONLINE Commission received,Income
POS BPCL petrol station transaction,Petrol
UPI Doctor consultation fee TRANSACTION,Medical
UPI Electricity bill payment ONLINE,Bills
PAYTM Payroll credit UPI,Salary
PHONEPE Hostel rent payment TRANSACTION,Rent
Fixed deposit investment | Ref:2f6ccbe9 | Amount: INR 12718.95,Investment
Zerodha stock purchase | Ref:a439ad7c | Amount: INR 36685.48,Investment
Ola cab fare | Ref:556694a8 | Amount: INR 40153.36,Transport
PAYTM Hospital bill payment,Medical
Mithran Super Stores purchase ONLINE,Groceries
PHONEPE Udemy course purchase ONLINE,Studies
PHONEPE Money received,Income
GPAY Mithran Super Stores purchase,Groceries
PHONEPE Apollo Pharmacy payment PAYMENT,Medical
POS Company salary deposit UPI,Salary
UPI Money sent to Deepak TRANSACTION,Personal Transfer
Uber ride payment | Ref:23999fd6 | Amount: INR 20081.69,Transport
Airtel recharge PURCHASE,Bills
Dominos pizza order | Ref:648f8f20 | Amount: INR 46042.5,Food
GPAY Hospital bill payment PAYMENT,Medical
Institute fee payment PAYMENT,Studies
ONLINE Airtel recharge UPI,Bills
Credit card EMI installment | Ref:73107a4f | Amount: INR 38548.7,EMI
RedBus bus ticket | Ref:8b2320ce | Amount: INR 6500.3,Transport
RedBus bus ticket | Ref:32e7519a | Amount: INR 10929.31,Transport
McDonald's meal payment | Ref:f03fa506 | Amount: INR 3458.02,Food
Petrol pump fuel payment | Ref:5a112c3d | Amount: INR 20692.13,Petrol
Credit card EMI installment | Ref:015226ea | Amount: INR 9368.8,EMI
PAYTM Tuition class payment,Studies
Myntra clothing order | Ref:9341bf52 | Amount: INR 4312.14,Shopping
GPAY BPCL petrol station transaction,Petrol
UPI Payment to friend ONLINE,Personal Transfer
PAYTM Salary credited UPI,Salary
UPI Salary August credit,Salary
GPAY Disney Hotstar subscription ONLINE,Entertainment
ONLINE Bank credit received PAYMENT,Income
HDFC home loan EMI | Ref:44a3065d | Amount: INR 512.9,EMI
PHONEPE Income credited UPI,Income
BANK MedPlus pharmacy purchase ONLINE,Medical
UPI General payment,Other
ONLINE School fee payment,Studies
McDonald's meal payment | Ref:ec6f534e | Amount: INR 29069.69,Food
PAYTM Unknown merchant payment UPI,Other
HDFC home loan EMI | Ref:ec90d6c0 | Amount: INR 44176.85,EMI
UPI BigBasket grocery order ONLINE,Groceries
RedBus bus ticket | Ref:432822cf | Amount: INR 25517.9,Transport
POS Office salary received UPI,Salary
PAYTM Salary August credit ONLINE,Salary
RedBus bus ticket | Ref:93bc35ef | Amount: INR 40279.34,Transport
McDonald's meal payment | Ref:d9fcf851 | Amount: INR 33622.31,Food
ONLINE Monthly wages credited UPI,Salary
